url,昵称,标题,性别,回答数目,关注者,文章,描述
https://www.zhihu.com/people/lao-si-ji-36-35-27/following,老司机APP,看车选车买车聊车，就上老司机！,男,9,934,9,
https://www.zhihu.com/people/SIr.E/following,Sir.E,小作夫人的小作先生。喜欢夫人❤️,男,574,4141,24,
https://www.zhihu.com/people/panluan/following,潘乱,,男,15,767,1,
https://www.zhihu.com/people/song-wei-57/following,宋玮,《财经》杂志,女,1,391,0,
https://www.zhihu.com/people/chang-kong-56-44/following,对长,游戏和互联网,男,,12176,12,
https://www.zhihu.com/people/gong-jiang-pai/following,工匠派,designer,男,3,1565,6,
https://www.zhihu.com/people/xuxiangang/following,正能量的刚子,辛勤耕耘的一级市场投资人,男,59,11811,16,
https://www.zhihu.com/people/zhouzhao/following,周召,生活家，副业金融,男,424,153852,8,
https://www.zhihu.com/people/nokenshin/following,EVA剑心,WAR3补丁包制作者/退居幕后,男,35,1178,4,
https://www.zhihu.com/people/yang-yang-34-64-3/following,杨扬,国中创投 ♞ IDG资本 ♞ 腾讯,男,,22,0,
https://www.zhihu.com/people/bi-li-bi-li-71-5/following,哔哩哔哩,哔哩哔哩 - ( ゜- ゜)つロ 乾杯~,男,277,213196,23,
https://www.zhihu.com/people/fei-xiao-gui/following,Gfei,心中有爱 脚下有风 所以我跑得快~,女,6,378,0,
https://www.zhihu.com/people/banybai/following,包子,英雄联盟/高级产品经理/内容负责人,男,17,611,34,
https://www.zhihu.com/people/song-dai-rong/following,宋岱融,直播转PE的基础小兵,男,3,718,0,
https://www.zhihu.com/people/damowang/following,郭居正,想当主播之前先照照镜子。,男,19,1258,0,
https://www.zhihu.com/people/san-sheng-zhi-hu/following,三声解读文娱,从商业的角度解读文娱,男,7,647,164,
https://www.zhihu.com/people/zhou-jie-20/following,周捷,少壮不努力，老大做电竞 —— 香蕉计划,男,67,185,0,
https://www.zhihu.com/people/Lyuejin/following,野生懂球帝,我已经没有时间去对我不感兴趣的事情再产生兴趣。汪,男,76,4497,53,
https://www.zhihu.com/people/lycheeorange/following,郦橙锦妖,《PPT进化》已上架京东当当～,女,456,81414,136,
https://www.zhihu.com/people/ming-ji-zowie-gear/following,明基ZOWIE GEAR,Strive for Perfection,男,207,1016,39,
https://www.zhihu.com/people/rosicky311/following,庄明浩（rosicky311）,前VC行业小兵一枚，现创业中,男,606,170197,99,很宅的前vc从业者，数据控、键鼠控、网络安全爱好者……罗西基脑残粉……
https://www.zhihu.com/people/5eplay/following,5EPlay,玩CSGO，上5EPlay,男,87,1929,137,
https://www.zhihu.com/people/ilovecrt/following,我爱CRT,CRT——地表最强显示设备 拒绝回答“这段代码怎么写”/生产制造/政治类问题,女,728,324,4,
https://www.zhihu.com/people/tmtmd/following,老汤,懂点电脑硬件,男,28,10050,37,
https://www.zhihu.com/people/haoyiyi/following,郝艺益,电竞主播选手 熊猫直播344200 ,男,5654,24531,173,
https://www.zhihu.com/people/deanniko/following,院长尼克,"In my heart, I am a gamer",男,83,7192,51,
https://www.zhihu.com/people/li-xiao-feng-sky/following,Sky李晓峰,钛度科技/电子竞技,男,29,103371,9,
https://www.zhihu.com/people/pb612/following,黄涛,孩子使石子改变意义,男,144,99531,22,
https://www.zhihu.com/people/ming-ji-se-cai-guan-li-xian-shi-qi/following,明基色彩管理显示器,真色彩，才专业,女,32,832,18,
https://www.zhihu.com/people/cherry-45-34-15/following,CHERRY,德国 CHERRY,男,46,4929,1,
https://www.zhihu.com/people/ming-ji-zhi-hui-ai-yan/following,明基智慧爱眼,真的爱眼，真的爱你。,男,32,243,5,
https://www.zhihu.com/people/ming-ji-wit/following,明基WiT,为不同生活形态而设计的灯,男,,7,0,
https://www.zhihu.com/people/ming-ji-74-85/following,明基,,男,,9,0,
https://www.zhihu.com/people/wang-da-sha-70/following,格子间里的牧羊人,UESTC/PKUsz CV/Image Processing,男,20,92,3,
https://www.zhihu.com/people/jiang-yichuan-80/following,水冰,,男,16,3,0,
https://www.zhihu.com/people/road-oos/following,road oos,"sorry 他太懒了,没有留下任何东西:)",男,1,8,0,
https://www.zhihu.com/people/suji-yan/following,Suji Yan,,男,338,25572,41,
https://www.zhihu.com/people/iamkoler/following,炎龙说数码,知名数码测评师，您身边的数码顾问！,男,2,250,105,
https://www.zhihu.com/people/zhihuadmin/following,知乎小管家,超厉害！顺便招运营人才和其他各类人才。,男,56,141823,117,
https://www.zhihu.com/people/sharpmaster/following,徐飞,三流程序员，二流架构师,男,228,32150,8,
https://www.zhihu.com/people/pluto-hades/following,Pluto Hades,学而不思则罔，思而不学则殆。,男,725,392,0,
https://www.zhihu.com/people/liu-kai-jie-11/following,faf758840a7dfc52,,男,200,465,3,
https://www.zhihu.com/people/kunana/following,Kunana XP,宅，学生，世界公民，喵&gt;.,男,62,134,0,
https://www.zhihu.com/people/feng-salomebz/following,JOJO,腹黑又温柔的天蝎座,女,115,2385,0,
https://www.zhihu.com/people/riverscn/following,川叶,电子产品爱好者,男,79,524,0,
https://www.zhihu.com/people/Freelancer17/following,Freelancer,Game Developer,男,95,2067,0,
https://www.zhihu.com/people/fish-hui-zhi/following,余蕙芷,不懂求教育,男,48,494,1,
https://www.zhihu.com/people/JeasonStudio/following,牧曈,昨天最好的表现是今天最差的底线。,男,93,402,15,
https://www.zhihu.com/people/eflay/following,油面筋塞肉,,男,755,316,2,
https://www.zhihu.com/people/kkkkk-kyo/following,Konta Takeshi,家庭娱乐,男,497,258,5,
https://www.zhihu.com/people/kor_yao/following,葛尧,塞翁失马，焉知非福,男,174,1846,89,
